user_id,doc_id,label,purity,randIndex,NMI,responseTime,sLDAUpFreq,topKeywords,recommendID,actualLabel
2,4229,mean,-1,-1,-1,0:00:58,0,5,70,talk
2,70,government,0.2987657823804795,0.4009173502363623,0.03907797964691501,0:00:13,0,6,6842,talk
2,6842,part,0.30202865654702793,0.4279103354514185,0.044224440093270666,0:00:17,0,1,2104,comp
2,2104,begin,0.30202865654702793,0.42788799306427894,0.0453572862410982,0:00:53,0,1,2907,comp
2,2907,lapointe,0.3045822102425876,0.42754045823873715,0.04779261732932838,0:00:33,1,1,2776,rec
2,2776,following,0.3079869485033338,0.43532941696111654,0.05538872273488183,0:00:14,1,1,5538,misc
2,5538,standings,0.30883813306852037,0.4372962313908043,0.05738595381063301,0:00:57,1,1,568,rec
2,568,following,0.31749184281458365,0.43082237375504595,0.07035729569905969,0:00:34,2,0,3169,misc
2,3169,standings,0.3164987941551993,0.4356640294330154,0.07060747346143799,0:00:14,2,0,6112,rec
2,6112,motherboard,0.37040714995034757,0.5868858802393301,0.12427640075566249,0:00:12,2,3,4540,comp
2,4540,software,0.4291388849482196,0.7221545017534949,0.1837393076734222,0:02:47,3,10,3128,comp
2,3128,percentage,0.42800397219463754,0.7217707762864425,0.18390916421186507,0:00:16,3,5,7030,rec
2,7030,sweden,0.42928074904241736,0.7217085396548789,0.183767464380983,0:00:43,3,5,3886,rec
2,3886,comics,0.4284295644772308,0.7218257667383932,0.1846238184061395,0:00:10,3,5,4171,misc
2,4171,team,0.4176478933182012,0.6996237944571234,0.17130069917272572,0:01:24,4,11,5509,rec
2,5509,period:,0.42232940842672717,0.7017402022392627,0.17426864217003973,0:00:33,4,11,3675,rec
2,3675,leads,0.4270109235352532,0.7032695084465496,0.177396418295922,0:00:52,4,11,5254,rec
2,5254,sheaffer,0.47552844375088665,0.7340391219627034,0.1986240207915905,0:03:06,5,8,2500,rec
2,2500,monitors,0.47240743367853594,0.7370877104954793,0.1912759759368857,0:00:14,5,10,4862,comp
2,4862,monitor,0.4743935309973046,0.7411639280670139,0.1888455859217253,0:02:07,5,10,6001,comp
2,6001,posted,0.42048517520215634,0.707795150180293,0.1739477257452548,0:00:33,6,14,3798,misc
2,3798,archive,0.46503050078025254,0.7209935430098601,0.1886591776520554,0:01:18,6,15,1447,comp
2,1447,available,0.5077315931337778,0.7620909350454069,0.22116726124257943,0:02:58,7,9,4779,comp
2,4779,game,0.5358206837849341,0.7611938580093393,0.23050748666275017,0:00:36,7,15,6854,rec
2,6854,comes,0.5378067811037026,0.7720890526489698,0.2313755288272276,0:00:10,7,15,4834,rec
2,4834,game,0.5380905092920981,0.7702550848455171,0.22740295423382953,0:00:10,7,15,1976,rec
2,1976,going,0.5295786636402326,0.7565846839272812,0.22746476892146422,0:00:11,7,15,1183,rec
2,1183,point,0.5339764505603631,0.7589858665682045,0.22859544310042376,0:00:56,7,15,6984,sci
2,6984,following,0.5344020428429564,0.75942212683745,0.22885000145479872,0:00:08,7,15,5051,misc
2,5051,game,0.5342601787487586,0.7589093388601824,0.22905610591845343,0:00:07,7,15,3610,rec
2,3610,game,0.5326996737125833,0.7579155253262834,0.22811714072332417,0:00:09,7,15,1634,rec
2,1634,reason,0.519931905234785,0.7497633317225344,0.2196432591879219,0:00:08,7,15,5661,rec
2,5661,getting,0.5216342743651582,0.750612221664177,0.21959272822124268,0:00:08,7,15,7037,rec
2,7037,want,0.5244715562491133,0.7530895697041418,0.2221267002936824,0:00:08,7,15,3751,sci
2,3751,team,0.526457653567882,0.767139710690643,0.23039867702089156,0:00:12,8,3,489,rec
2,489,system,0.527025109944673,0.7682321527803833,0.23193719010678515,0:00:07,8,6,1330,misc
2,1330,print,0.5273088381330685,0.7656903539984178,0.2281449112172735,0:00:09,8,6,4439,comp
2,4439,posting,0.5277344304156618,0.7651509161827963,0.22599223337950344,0:00:08,8,6,177,misc
2,177,program,0.5284437508866506,0.7653454761054007,0.22510080873651211,0:00:16,8,6,4860,comp
2,4860,harddrive,0.5288693431692438,0.7647549527235088,0.22441106109299389,0:00:07,8,6,4709,comp
2,4709,right,0.5283018867924528,0.7646311235652363,0.22279765602334303,0:00:12,8,6,6671,comp
2,6671,server,0.529436799546035,0.764643723866452,0.22336522400060815,0:00:11,8,6,754,comp
2,754,window,0.530004255922826,0.7646464613120835,0.22206511198002227,0:00:08,8,6,6974,comp
2,6974,compile,0.5307135763938148,0.764523437284879,0.2228209082407278,0:00:07,8,6,5354,comp
2,5354,program,0.5309973045822103,0.764911590972806,0.22360191834008925,0:00:08,8,6,2901,comp
2,2901,version,0.5392254220456802,0.7755187499728269,0.24329638997498754,0:00:07,8,6,3549,comp
2,3549,applications,0.5390835579514824,0.7752239512322451,0.2415053786364383,0:00:09,8,6,4123,comp
2,4123,hard,0.4453113916867641,0.6320484595507787,0.19582985429067945,0:01:40,9,3,1380,comp
2,1380,required,0.4386437792594694,0.6451305914541134,0.1830740903053918,0:00:16,9,7,2789,talk
2,2789,meant,0.4417647893318201,0.6501095622357459,0.18644856825345216,0:01:36,9,15,4406,alt
2,4406,remember,0.44332529436799545,0.6536536284278254,0.18597618851071673,0:00:09,9,15,1882,rec
2,1882,watched,0.44360902255639095,0.6549305260452655,0.18660013949968612,0:00:30,9,15,5829,rec
2,5829,probably,0.4461625762519506,0.6599923045572512,0.188022421529488,0:00:14,9,15,1461,sci
2,1461,guess,0.44758121719392824,0.6624459414872607,0.18895219051788226,0:00:10,9,15,15,alt
2,15,question,0.4489998581359058,0.6640458174326657,0.1896083601802171,0:00:15,9,15,4301,sci
2,4301,question,0.4489998581359058,0.6650186573022409,0.18956676999103253,0:00:14,9,15,938,sci
2,938,problem,0.4555256064690027,0.6743942878205086,0.19019382664278942,0:00:14,9,15,1046,rec
2,1046,question,0.4579372960703646,0.6760758443127716,0.19152311813232573,0:00:16,9,7,5042,sci
2,5042,things,0.4870194353809051,0.7246944889905572,0.20314518716954802,0:00:58,10,10,1622,soc
2,1622,found,0.4938289119023975,0.7266396856510668,0.20374425361832704,0:00:17,10,15,472,talk
2,472,reasons,0.4945382323733863,0.7321793497085184,0.20201807835165173,0:00:11,10,15,3753,sci
2,3753,takes,0.49538941693857286,0.7412793033490715,0.1978226933936021,0:00:09,10,15,2821,misc
2,2821,thing,0.5009221166122855,0.7428594938398617,0.19817674610080874,0:00:08,10,15,6994,talk
2,6994,problem,0.5036175344020428,0.7513228706014281,0.1972682463248326,0:00:09,10,15,1050,rec
2,1050,away,0.4668747340048234,0.7076433829739577,0.19881544608828752,0:00:14,10,15,65,rec
2,65,guys,0.46857710313519646,0.7082333427641019,0.19973817302463703,0:00:11,10,15,6834,talk
2,6834,mistake,0.4695701517945808,0.7115287039692478,0.20020681716210112,0:00:08,10,15,3792,talk
2,3792,seems,0.47042133635976735,0.7110692961817947,0.19994852311844594,0:00:08,10,15,3058,alt
2,3058,alright,0.4716981132075472,0.7145046696796818,0.20088983098145122,0:00:18,10,15,5545,misc
2,5545,found,0.47183997730174493,0.7147466518221968,0.20091922323027184,0:00:07,10,15,3561,talk
2,3561,probably,0.4722655695843382,0.7155837465936917,0.20106861857767838,0:00:10,10,15,6292,rec
2,6292,day,0.485884522627323,0.7641717560343366,0.18915200447115665,0:00:07,10,15,2544,talk
2,2544,questions,0.4837565612143567,0.7644474731686046,0.1881726905227354,0:00:09,10,10,4916,talk
2,4916,needed,0.48545893034472976,0.766107492404796,0.1888440214687659,0:00:11,10,15,2807,sci
2,2807,problem,0.4873031635693006,0.7526553625191198,0.19163054909821886,0:00:07,10,15,5881,rec
2,5881,right,0.48276351255497235,0.7349696924512038,0.1945475387535109,0:00:06,10,15,3930,sci
2,3930,find,0.47311675414952475,0.7046476915523555,0.2003537409089813,0:00:07,10,10,6721,soc
2,6721,grunt,0.472974890055327,0.7036501744155432,0.20114257320992,0:00:09,10,10,5020,rec
2,5020,comes,0.506454816285998,0.7582517480603185,0.19641295940089326,0:01:09,11,7,4290,talk
2,4290,question,0.505887359909207,0.7584453820821946,0.19636892254767033,0:01:00,11,15,6150,soc
2,6150,thing,0.5061710880976025,0.7592828391626701,0.19651956078592142,0:00:08,11,15,4009,soc
2,4009,question,0.5068804085685913,0.7604924680793711,0.1957737875007281,0:00:11,11,15,6468,talk
2,6468,letting,0.485317066250532,0.7327710405304589,0.1929811601352959,0:01:09,11,15,5465,alt
2,5465,way,0.4870194353809051,0.7332936511067574,0.1943534934862357,0:00:13,11,15,3801,sci
2,3801,believe,0.4877287558518939,0.7373256267261004,0.19497006271539769,0:00:11,11,15,6413,talk
2,6413,believe,0.4877287558518939,0.7375701047749265,0.19501425940332012,0:00:11,11,15,1627,talk
2,1627,heard,0.4880124840402894,0.7407688502519013,0.1952968089762577,0:00:20,11,15,1887,talk
2,1887,point,0.4885799404170804,0.7414266825910857,0.1955484984404287,0:00:11,11,15,4272,sci
2,4272,mind,0.49113349411264007,0.745174205404072,0.19553636204112287,0:01:45,11,15,2478,alt
2,2478,believe,0.4914172223010356,0.7528445280635679,0.19313444954635936,0:00:09,11,15,229,alt
2,229,read,0.49950347567030784,0.7643618877360664,0.19297952375345423,0:00:09,11,15,481,talk
2,481,government,0.45396510143282737,0.7065141866509591,0.182033296915796,0:00:08,12,15,5802,talk
2,5802,want,0.4538232373386296,0.7066387404271929,0.1818681545284962,0:02:44,12,12,3947,comp
2,3947,system,0.45396510143282737,0.7067718688493019,0.18166149479965207,0:00:53,12,12,6921,sci
2,6921,work,0.44843240175911475,0.6936258497957141,0.18773941173692854,0:01:10,12,12,6549,comp
2,6549,question,0.4472974890055327,0.6917451038772052,0.18744955536040983,0:00:15,12,12,4571,rec
2,4571,drive,0.43197616683217477,0.6555230219982742,0.18594680131082061,0:00:10,12,12,6992,sci
2,6992,applications,0.43254362320896583,0.6561351631493443,0.18610657018429363,0:01:07,12,12,6774,comp
2,6774,looking,0.4336785359625479,0.6558296964221102,0.18741105625871984,0:00:19,12,12,3776,comp
2,3776,change,0.4485742658533125,0.7049688583354172,0.19343469783931552,0:01:04,13,15,1186,rec
2,1186,actually,0.44786494538232374,0.7035657564230539,0.1931406187818602,0:00:10,13,15,4032,comp
2,4032,drive,0.44843240175911475,0.703688458397831,0.1933850812017084,0:01:06,13,15,2044,comp
2,2044,months,0.45566747056320045,0.7077999809667016,0.19420891781820132,0:00:10,13,15,6077,comp
2,6077,problem,0.45297205277344305,0.7137548108594146,0.19135595350919446,0:00:11,13,15,3290,comp
2,3290,number,0.4695701517945808,0.7281024880321293,0.1949175461595923,0:00:12,13,15,2255,comp
2,2255,tell,0.4692864236061853,0.7285792061375463,0.19508432109945645,0:00:11,13,15,3253,sci
2,3253,question,0.468860831323592,0.7275727923024317,0.1941314162416934,0:00:11,13,15,2323,comp
2,2323,thing,0.4664491417222301,0.7261008919402998,0.19222337954186552,0:00:44,13,15,3,comp
