group,cv,npmi,umass,cuci
sLDA,0.3225452383,-0.02677046808,-2.715246253,-0.7346825411
sLDA,0.3052295375,-0.03549886072,-2.739742813,-0.7877405506
sLDA,0.2976568492,-0.03770971426,-2.909023534,-0.8198759247
sLDA,0.2962574382,-0.04240359097,-2.943020213,-0.8980084662
sLDA,0.2952311712,-0.04871528321,-3.193452919,-0.901214603
sLDA,0.2923108719,-0.05482316006,-3.233849662,-0.9660964205
sLDA,0.2910088702,-0.05609579685,-3.26226427,-1.00850493
sLDA,0.2825310463,-0.06266422836,-3.477751372,-1.588600715
sLDA,0.2822986702,-0.07239638662,-3.482807607,-1.601223933
sLDA,0.2785615285,-0.07803567447,-3.992715391,-1.651530385
sLDA,0.2707723217,-0.08955005841,-4.300396708,-2.971269074
sLDA,0.255556625,-0.0981128767,-5.225284362,-3.409501505
sLDA,0.2311386148,-0.132374711,-5.36750279,-4.829888643
sLDA,0.2268263994,-0.175848552,-5.506269322,-5.00654315
sLDA,0.2244722545,-0.1868350551,-6.130901383,-5.171208117
sLDA,0.2202771508,-0.2019563766,-6.639337978,-5.473959171
sLDA,0.2193999895,-0.2146424894,-6.750274228,-5.815492482
sLDA,0.199339044,-0.2293442617,-7.421225619,-5.88090206
sLDA,0.185907288,-0.2425429055,-8.409333341,-7.450052803
sLDA,0.1817169847,-0.2589656125,-9.133244759,-8.567265892
sLDA,0.1328691626,-0.2955500935,-10.3969835,-8.911358599
