classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.236,7,2,0.17488486520253538,0.16,0.165,0.13666666666666666,0.1425,0.146
0.238,7,76,0.17568823621365956,0.16,0.165,0.13333333333333333,0.14,0.144
0.236,7,302,0.17618343804860787,0.16,0.165,0.13333333333333333,0.14,0.144
0.238,6,252,0.1755883490685342,0.16,0.165,0.13333333333333333,0.145,0.148
0.242,1,341,0.1758909181195614,0.16,0.165,0.13,0.1425,0.146
0.244,7,342,0.17643958532473844,0.16,0.165,0.13,0.1425,0.148
0.246,7,28,0.17703188651686036,0.16,0.165,0.13,0.1425,0.148
0.25,7,121,0.1775473910744555,0.16,0.165,0.13,0.145,0.148
0.25,5,425,0.17676562343848892,0.16,0.165,0.13333333333333333,0.1475,0.15
0.25,7,328,0.17756534904368496,0.16,0.16,0.13,0.145,0.148
0.254,7,427,0.17752239548162801,0.16,0.16,0.13,0.145,0.148
0.258,7,377,0.17762200947693382,0.16,0.16,0.13,0.145,0.148
0.26,7,272,0.17695445208384436,0.17,0.165,0.13666666666666666,0.15,0.152
0.258,7,186,0.17571902809838127,0.16,0.16,0.13333333333333333,0.1475,0.15
0.268,7,52,0.17564107304985255,0.16,0.16,0.13666666666666666,0.15,0.152
0.268,7,293,0.17566707818432642,0.16,0.16,0.13666666666666666,0.15,0.152
0.27,7,414,0.17530809455027221,0.16,0.16,0.13666666666666666,0.1525,0.154
0.276,4,31,0.17636316111470948,0.16,0.16,0.13666666666666666,0.1525,0.154
0.276,6,193,0.17496946119145448,0.16,0.16,0.14,0.155,0.156
0.278,15,116,0.17575825340661683,0.16,0.16,0.14,0.1575,0.158
0.282,1,463,0.17687077035326715,0.15,0.155,0.13666666666666666,0.155,0.156
0.282,6,42,0.17595995770853082,0.15,0.155,0.13666666666666666,0.1525,0.154
0.284,4,191,0.1757133344584219,0.15,0.155,0.14,0.155,0.158
0.284,17,492,0.17706599956922428,0.15,0.155,0.14,0.155,0.158
0.284,14,273,0.17714866827186074,0.16,0.16,0.14333333333333334,0.1575,0.16
0.286,4,117,0.1844860364556665,0.16,0.16,0.14333333333333334,0.1575,0.16
0.286,4,465,0.18500809574357288,0.16,0.16,0.14333333333333334,0.1575,0.16
0.288,14,231,0.17738520234205876,0.16,0.16,0.14333333333333334,0.1575,0.16
0.292,10,152,0.1778307570187276,0.16,0.16,0.14666666666666667,0.1575,0.16
0.294,4,43,0.18614813884695883,0.16,0.16,0.14666666666666667,0.1575,0.16
0.294,1,190,0.17630379617859332,0.16,0.16,0.14666666666666667,0.1575,0.16
0.296,4,496,0.18633619227452822,0.16,0.16,0.14666666666666667,0.1575,0.16
0.296,14,274,0.1852247409188248,0.16,0.16,0.14666666666666667,0.1575,0.16
0.298,10,275,0.18595760833081112,0.16,0.165,0.15,0.16,0.162
0.3,4,276,0.18664397419273898,0.16,0.165,0.15,0.1575,0.16
0.302,5,494,0.1860176436639238,0.16,0.175,0.15666666666666668,0.1625,0.164
0.304,4,474,0.1868177728619356,0.16,0.175,0.16,0.165,0.166
0.308,4,234,0.18523228004318817,0.16,0.175,0.16,0.1625,0.164
0.31,4,450,0.18534886070029305,0.16,0.175,0.16,0.1625,0.164
0.312,4,155,0.18389165733658888,0.16,0.175,0.16,0.1625,0.164
0.318,9,459,0.18227178245382422,0.16,0.175,0.16,0.1625,0.164
0.318,10,340,0.18103397412444058,0.16,0.175,0.16,0.1625,0.164
0.322,13,129,0.17977799459764982,0.17,0.18,0.16333333333333333,0.165,0.166
0.326,2,495,0.1819675964223641,0.17,0.18,0.16333333333333333,0.1675,0.168
0.326,4,345,0.18206103655256986,0.17,0.185,0.17,0.17,0.17
0.326,4,131,0.17990093467895996,0.17,0.185,0.17,0.17,0.17
0.33,4,167,0.1797331394182247,0.17,0.185,0.17,0.17,0.17
0.33,4,185,0.17925413922205338,0.17,0.185,0.17,0.17,0.17
0.332,16,478,0.17964914223930686,0.17,0.185,0.17,0.17,0.17
0.334,3,471,0.1775367556512166,0.17,0.185,0.17,0.17,0.172
0.338,19,184,0.17691303531141553,0.17,0.185,0.17,0.17,0.172
0.34,4,15,0.176687962687184,0.17,0.185,0.17333333333333334,0.1725,0.176
0.34,4,280,0.17649769471614632,0.17,0.185,0.17333333333333334,0.175,0.178
0.344,7,194,0.17613327216847394,0.17,0.185,0.17333333333333334,0.175,0.178
0.344,2,477,0.17510817908365975,0.16,0.18,0.17,0.1775,0.18
0.344,3,344,0.17415799719671451,0.17,0.185,0.17333333333333334,0.18,0.182
0.35,2,320,0.17288150732805624,0.18,0.19,0.17666666666666667,0.1825,0.186
0.35,4,322,0.17293096944970307,0.19,0.195,0.18,0.185,0.188
0.35,13,354,0.17320539225398507,0.19,0.195,0.18,0.185,0.188
0.35,4,123,0.1724021471186855,0.19,0.195,0.18,0.185,0.188
0.352,13,243,0.17204000175892797,0.2,0.205,0.18666666666666668,0.19,0.192
0.354,7,39,0.17077566575171793,0.21,0.205,0.18666666666666668,0.1875,0.19
0.356,3,489,0.1728192729709308,0.21,0.205,0.18666666666666668,0.1875,0.19
0.356,13,24,0.1708169174266837,0.21,0.205,0.18666666666666668,0.19,0.194
0.358,13,171,0.17130418894125826,0.21,0.205,0.18666666666666668,0.19,0.194
0.358,13,490,0.1754081172903652,0.21,0.205,0.18666666666666668,0.19,0.194
0.36,13,497,0.17579494654552835,0.21,0.205,0.19,0.1925,0.196
0.36,13,343,0.17307933187480118,0.21,0.205,0.19,0.1925,0.196
0.362,13,283,0.17325548005877944,0.21,0.205,0.19,0.1925,0.196
0.362,13,4,0.17321461017285858,0.21,0.205,0.19,0.1925,0.196
0.366,13,292,0.17369693207194004,0.21,0.205,0.19,0.1925,0.196
0.368,13,388,0.1735625978256213,0.21,0.205,0.19,0.1925,0.196
0.374,13,130,0.17333469376127944,0.21,0.21,0.19333333333333333,0.195,0.196
0.374,13,106,0.17319723905220222,0.21,0.21,0.19333333333333333,0.195,0.196
0.378,13,101,0.1732848780135574,0.21,0.21,0.19333333333333333,0.195,0.196
0.38,13,424,0.17329502157997345,0.21,0.21,0.19333333333333333,0.195,0.196
0.38,13,142,0.17325815478538983,0.21,0.21,0.19333333333333333,0.195,0.198
0.382,13,324,0.1734086413122711,0.21,0.21,0.19333333333333333,0.195,0.198
0.386,13,36,0.17339828097639695,0.21,0.21,0.19333333333333333,0.195,0.198
0.39,13,347,0.17339697661790338,0.21,0.205,0.19,0.1925,0.196
0.392,13,153,0.1731939537321774,0.21,0.205,0.19,0.1925,0.196
0.4,6,346,0.1723156045762073,0.23,0.215,0.2,0.2025,0.206
0.406,4,8,0.1723062523233717,0.23,0.22,0.20333333333333334,0.2075,0.21
0.412,13,170,0.17181703746343302,0.24,0.225,0.21,0.2125,0.216
0.414,13,382,0.17165963956862046,0.25,0.235,0.21666666666666667,0.2175,0.22
0.414,5,169,0.16971252687773683,0.25,0.23,0.21333333333333335,0.215,0.22
0.416,13,29,0.16975559485348024,0.25,0.235,0.21666666666666667,0.22,0.226
0.416,7,5,0.1676759729257995,0.25,0.235,0.22,0.225,0.23
0.42,15,214,0.16721351334549384,0.25,0.235,0.22,0.225,0.23
0.42,10,284,0.16703885188662,0.27,0.245,0.22666666666666666,0.23,0.234
0.42,1,215,0.16685575217026197,0.27,0.245,0.22666666666666666,0.23,0.234
0.422,5,128,0.1680390757303094,0.27,0.245,0.22666666666666666,0.23,0.234
0.422,5,88,0.16847605836493693,0.27,0.245,0.22666666666666666,0.23,0.234
0.424,5,68,0.16917463703878247,0.27,0.25,0.23,0.2325,0.236
0.426,7,87,0.16963639858480484,0.27,0.25,0.23,0.2325,0.236
