classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.324,13,324,0.16809612110368694,0.21,0.205,0.19,0.2025,0.206
0.324,10,445,0.1651618711588674,0.21,0.2,0.19,0.2025,0.206
0.33,1,433,0.19351219924265753,0.22,0.205,0.19333333333333333,0.2075,0.21
0.338,1,482,0.19412677255122054,0.25,0.22,0.20666666666666667,0.2175,0.218
0.34,9,336,0.19235691943892155,0.26,0.23,0.21333333333333335,0.2225,0.224
0.34,7,440,0.19455815480796515,0.27,0.235,0.21666666666666667,0.225,0.226
0.34,15,441,0.19795800641422467,0.28,0.24,0.22,0.2275,0.23
0.346,19,481,0.1990115379437773,0.28,0.24,0.22,0.2275,0.232
0.346,4,450,0.17120796811834912,0.28,0.24,0.22333333333333333,0.23,0.234
0.356,10,96,0.1709988555679724,0.28,0.24,0.22333333333333333,0.23,0.232
0.36,13,170,0.23757632405562468,0.28,0.24,0.22333333333333333,0.23,0.232
0.366,3,491,0.18947900021328667,0.28,0.24,0.22666666666666666,0.235,0.238
0.364,0,335,0.1864487928478801,0.3,0.25,0.23333333333333334,0.2375,0.24
0.366,15,449,0.17463882841533598,0.3,0.25,0.23333333333333334,0.2375,0.24
0.37,5,334,0.1846719504054982,0.3,0.25,0.23666666666666666,0.24,0.242
0.37,10,94,0.1728514388857646,0.31,0.25,0.23666666666666666,0.24,0.242
0.372,11,281,0.24444463091492008,0.33,0.26,0.24333333333333335,0.245,0.248
0.38,16,442,0.23116944255169236,0.33,0.26,0.24666666666666667,0.2475,0.252
0.384,13,490,0.19728078775806915,0.33,0.26,0.24666666666666667,0.2475,0.252
0.388,8,428,0.18388013018288246,0.33,0.255,0.24333333333333335,0.245,0.25
0.406,6,443,0.23826737700413375,0.33,0.255,0.24333333333333335,0.245,0.25
0.406,10,175,0.18328742920553753,0.33,0.255,0.24333333333333335,0.2475,0.252
0.408,10,444,0.24240541233074295,0.33,0.255,0.24333333333333335,0.25,0.254
0.41,5,425,0.18065723423761373,0.33,0.255,0.24333333333333335,0.2525,0.256
0.412,16,467,0.17870883625264244,0.34,0.265,0.25333333333333335,0.26,0.262
0.412,10,152,0.21501170054420124,0.34,0.27,0.25666666666666665,0.2625,0.264
0.416,3,483,0.22834851151684188,0.34,0.27,0.25666666666666665,0.2625,0.264
0.42,11,468,0.1803947126784656,0.34,0.27,0.25666666666666665,0.2625,0.264
0.424,1,385,0.18128164177054457,0.34,0.27,0.25666666666666665,0.2625,0.266
0.436,10,484,0.23300796970577836,0.35,0.275,0.26,0.265,0.268
0.436,4,280,0.2219251534643508,0.35,0.275,0.26,0.265,0.266
0.44,17,492,0.2133337614145931,0.35,0.275,0.26,0.2675,0.268
0.44,17,151,0.20508602698833908,0.35,0.275,0.26,0.265,0.268
0.444,14,219,0.1787032373918336,0.33,0.265,0.25333333333333335,0.26,0.264
0.45,12,493,0.2170513100936496,0.33,0.265,0.25333333333333335,0.26,0.264
0.454,15,327,0.2035214028456169,0.34,0.27,0.25666666666666665,0.2625,0.266
0.454,17,150,0.19948676182334552,0.34,0.27,0.25333333333333335,0.26,0.264
0.452,2,279,0.21137091770633054,0.34,0.27,0.25333333333333335,0.26,0.264
0.452,5,494,0.22138869993206878,0.34,0.27,0.25333333333333335,0.26,0.264
0.454,2,308,0.1994147874391321,0.33,0.265,0.24666666666666667,0.255,0.26
0.456,7,328,0.20799062347153602,0.33,0.265,0.24666666666666667,0.255,0.26
0.458,18,485,0.24966775593443838,0.34,0.27,0.25,0.26,0.264
0.46,2,469,0.20676316876824571,0.34,0.27,0.25,0.26,0.264
0.46,11,390,0.21445217632336017,0.34,0.27,0.25,0.26,0.264
0.462,11,310,0.20314283885817283,0.33,0.265,0.24666666666666667,0.2575,0.26
0.462,0,278,0.2001133803461084,0.33,0.27,0.25,0.26,0.264
0.464,1,389,0.2109685324971208,0.33,0.27,0.24666666666666667,0.2575,0.264
0.47,13,388,0.19694245380732953,0.32,0.265,0.24333333333333335,0.2525,0.262
0.474,2,470,0.21033470283189815,0.31,0.26,0.24,0.25,0.26
0.478,4,276,0.19481375744311696,0.31,0.26,0.24,0.245,0.26
0.482,14,387,0.2063782033471059,0.31,0.26,0.24,0.245,0.26
0.486,17,329,0.2155237444575329,0.31,0.26,0.24,0.2425,0.26
0.486,1,386,0.20413169799160555,0.31,0.26,0.24,0.245,0.262
0.49,5,244,0.19688968646929517,0.31,0.265,0.24333333333333335,0.2475,0.266
0.486,3,154,0.19670930188525004,0.31,0.265,0.25,0.25,0.268
0.492,10,486,0.2611237921351175,0.32,0.275,0.25666666666666665,0.255,0.272
0.496,2,495,0.23544020269288943,0.33,0.28,0.2633333333333333,0.26,0.276
0.494,8,178,0.21444488500685527,0.33,0.28,0.2633333333333333,0.26,0.276
0.496,4,496,0.23750123998033845,0.33,0.285,0.27,0.265,0.28
0.5,13,382,0.20851031697363234,0.34,0.29,0.27666666666666667,0.27,0.286
0.502,3,383,0.21172410416827916,0.34,0.29,0.2833333333333333,0.275,0.29
0.502,10,475,0.19580422898169816,0.34,0.285,0.28,0.2725,0.288
0.504,7,384,0.21766530586349703,0.34,0.285,0.28,0.275,0.29
0.506,19,311,0.21143713274199627,0.35,0.285,0.27666666666666667,0.275,0.292
0.508,9,149,0.19613427733851568,0.35,0.285,0.27666666666666667,0.275,0.29
0.506,4,474,0.1953224884472907,0.35,0.285,0.27666666666666667,0.275,0.29
0.506,10,284,0.18817512831375924,0.36,0.29,0.28,0.2775,0.292
0.51,4,155,0.20964393406498696,0.36,0.29,0.28,0.2775,0.29
0.512,13,343,0.18970303062876342,0.36,0.29,0.28,0.2775,0.29
0.514,7,427,0.19030936902601248,0.37,0.3,0.2866666666666667,0.2825,0.292
0.518,13,283,0.19108020191423508,0.38,0.305,0.2866666666666667,0.2825,0.292
0.518,0,330,0.2253586236921688,0.39,0.305,0.2866666666666667,0.2825,0.292
0.522,10,331,0.22567387950407308,0.39,0.305,0.2866666666666667,0.2825,0.29
0.52,10,180,0.22435316107157058,0.39,0.305,0.2866666666666667,0.2825,0.288
0.52,1,341,0.22379190532751334,0.4,0.31,0.29,0.285,0.29
0.52,15,309,0.2119826284333131,0.4,0.31,0.29333333333333333,0.2875,0.292
0.518,7,285,0.19787383138387318,0.4,0.31,0.29333333333333333,0.2875,0.294
0.516,1,168,0.2183021502818193,0.4,0.31,0.29,0.285,0.294
0.516,13,156,0.21994306227634774,0.4,0.31,0.29,0.285,0.294
0.52,9,286,0.20146000338497536,0.4,0.31,0.29,0.285,0.294
0.52,3,344,0.1998593409730377,0.39,0.305,0.2866666666666667,0.2875,0.296
0.52,15,249,0.19493011156436613,0.4,0.31,0.29,0.29,0.298
0.518,5,224,0.18896136575122213,0.4,0.31,0.29,0.29,0.3
0.518,13,424,0.1873958773880865,0.4,0.31,0.29,0.29,0.298
0.522,3,287,0.2083819703376931,0.41,0.32,0.2966666666666667,0.295,0.302
0.528,12,288,0.20989929458372536,0.41,0.32,0.2966666666666667,0.295,0.302
0.528,8,289,0.21134530572962826,0.41,0.32,0.2966666666666667,0.2975,0.304
0.532,7,342,0.23487893168764185,0.43,0.33,0.3,0.3,0.306
0.536,7,439,0.23141625230229443,0.43,0.33,0.3,0.3,0.306
0.534,2,245,0.20801936419398648,0.43,0.33,0.30333333333333334,0.3025,0.308
0.534,0,246,0.2081229143384241,0.43,0.33,0.30333333333333334,0.3025,0.308
0.538,6,346,0.2069678130167109,0.43,0.33,0.30333333333333334,0.305,0.31
0.538,13,347,0.20728369056788584,0.43,0.33,0.30333333333333334,0.305,0.31
0.542,7,250,0.1999167819101737,0.44,0.335,0.30666666666666664,0.3075,0.312
0.544,12,227,0.1932710567219512,0.44,0.335,0.31,0.31,0.314
0.546,1,179,0.23286400594523804,0.44,0.335,0.31,0.31,0.314
0.548,17,438,0.22282140589912072,0.44,0.335,0.31,0.31,0.314
0.554,6,348,0.20886785501194208,0.44,0.335,0.31666666666666665,0.315,0.318
0.554,6,252,0.2012983130456943,0.44,0.335,0.32,0.32,0.322
0.556,5,66,0.19247233485144358,0.45,0.34,0.32666666666666666,0.3275,0.328
0.558,3,14,0.19018191229602152,0.45,0.34,0.32666666666666666,0.3275,0.33
0.562,12,228,0.19451058663724663,0.45,0.34,0.32666666666666666,0.3275,0.33
0.566,10,408,0.1901441980871145,0.45,0.34,0.32666666666666666,0.3275,0.33
0.568,1,290,0.2293473052188313,0.45,0.335,0.3233333333333333,0.325,0.328
0.57,14,291,0.23008842601840346,0.45,0.335,0.32,0.3225,0.326
0.572,3,229,0.19582667478753124,0.46,0.34,0.3233333333333333,0.325,0.332
0.574,2,409,0.19022996718816584,0.46,0.34,0.3233333333333333,0.325,0.332
0.576,18,435,0.21155771337898957,0.46,0.34,0.3233333333333333,0.325,0.332
0.576,11,349,0.2130563773660127,0.46,0.34,0.3233333333333333,0.325,0.332
0.576,2,109,0.19051102629839733,0.46,0.34,0.3233333333333333,0.325,0.332
0.578,2,434,0.20867329413433278,0.46,0.34,0.3233333333333333,0.325,0.332
0.578,1,460,0.19683175999088026,0.46,0.34,0.3233333333333333,0.325,0.332
0.584,1,47,0.18851761025819705,0.46,0.34,0.3233333333333333,0.325,0.334
0.586,3,108,0.18910267725642216,0.46,0.34,0.32666666666666666,0.3275,0.336
0.586,7,253,0.20869681123318248,0.47,0.345,0.33,0.33,0.338
0.586,9,459,0.19390010749324918,0.47,0.345,0.33,0.33,0.338
0.584,11,350,0.2204974422164158,0.47,0.345,0.33,0.33,0.338
0.588,16,351,0.2217311065604024,0.47,0.34,0.3233333333333333,0.3275,0.336
0.588,15,352,0.22290492579727497,0.46,0.34,0.3233333333333333,0.3275,0.332
0.588,5,82,0.18959756467602587,0.46,0.34,0.3233333333333333,0.325,0.33
0.59,14,107,0.18610409986172816,0.45,0.335,0.32,0.3225,0.328
0.594,12,323,0.2025329796641501,0.45,0.335,0.32,0.3225,0.328
0.596,1,255,0.21767334921593504,0.45,0.335,0.32,0.3225,0.328
0.602,8,456,0.1884311025750555,0.45,0.335,0.32,0.3225,0.328
0.606,9,401,0.18609138724623953,0.45,0.34,0.3233333333333333,0.325,0.33
0.606,2,455,0.1870734181489015,0.44,0.335,0.32,0.3225,0.328
0.608,15,446,0.19607592864942305,0.44,0.335,0.32666666666666666,0.3275,0.332
0.61,14,400,0.18577682585930091,0.44,0.335,0.32666666666666666,0.3275,0.332
0.612,16,453,0.18503833704783437,0.45,0.34,0.33,0.33,0.334
0.612,9,447,0.19716795912087112,0.45,0.34,0.33,0.33,0.334
