classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.456,2,312,0.15685872872323675,0.26,0.26,0.2833333333333333,0.28,0.28
0.468,15,313,0.15721373627008015,0.26,0.26,0.2833333333333333,0.2775,0.28
0.474,8,247,0.15841956240424715,0.26,0.26,0.2833333333333333,0.28,0.282
0.476,15,315,0.1579361909455238,0.26,0.26,0.29,0.2875,0.294
0.48,17,316,0.15829842157322627,0.26,0.26,0.2866666666666667,0.285,0.294
0.484,2,213,0.1578515833997843,0.28,0.275,0.2966666666666667,0.2925,0.304
0.49,14,273,0.15700450854052378,0.29,0.28,0.30666666666666664,0.3,0.312
0.496,6,212,0.15803036098420972,0.29,0.28,0.30333333333333334,0.3,0.316
0.498,19,317,0.16065856009859647,0.32,0.295,0.31333333333333335,0.305,0.322
0.502,2,308,0.15956430776934763,0.33,0.3,0.31666666666666665,0.3075,0.324
0.516,11,89,0.15835848064405136,0.33,0.3,0.31666666666666665,0.3075,0.324
0.516,15,309,0.177386002994695,0.33,0.305,0.32,0.3075,0.324
0.534,6,318,0.16280956452927145,0.33,0.305,0.32,0.3075,0.324
0.538,11,310,0.18133987270373486,0.34,0.31,0.3233333333333333,0.31,0.324
0.542,13,24,0.1587275919690346,0.34,0.305,0.32,0.31,0.326
0.548,7,427,0.16296404506009624,0.34,0.305,0.32,0.3125,0.328
0.55,4,426,0.16311022241380327,0.34,0.305,0.32,0.3125,0.328
0.552,12,210,0.15869241615617022,0.35,0.31,0.3233333333333333,0.3125,0.328
0.556,14,274,0.15881809290192359,0.35,0.31,0.3233333333333333,0.3125,0.326
0.558,5,128,0.15835982035371873,0.35,0.31,0.3233333333333333,0.3125,0.324
0.562,2,64,0.15637295972316806,0.35,0.32,0.32666666666666666,0.315,0.326
0.566,15,116,0.16233321418937613,0.35,0.325,0.33,0.315,0.328
0.566,2,209,0.15890166653885493,0.35,0.33,0.3333333333333333,0.3175,0.332
0.576,9,362,0.1556464636829508,0.35,0.33,0.33,0.3125,0.328
0.576,0,415,0.1556202115051757,0.35,0.33,0.32666666666666666,0.31,0.326
0.576,7,342,0.15573392828703914,0.36,0.33,0.32666666666666666,0.3125,0.328
0.582,6,319,0.16893118750652236,0.36,0.33,0.32666666666666666,0.3125,0.328
0.584,9,401,0.15647407128393018,0.35,0.325,0.3233333333333333,0.31,0.326
0.584,9,413,0.15574315498722577,0.35,0.33,0.32666666666666666,0.3125,0.33
0.59,7,121,0.15605134848138902,0.35,0.33,0.3233333333333333,0.31,0.328
0.59,19,311,0.20243513314960987,0.37,0.34,0.33,0.315,0.332
0.59,5,88,0.1631043381342248,0.37,0.34,0.33,0.315,0.332
0.59,15,208,0.16023938882000865,0.37,0.34,0.3333333333333333,0.3175,0.334
0.592,1,402,0.15978451854323325,0.37,0.34,0.3333333333333333,0.3175,0.338
0.594,9,361,0.1573009497141952,0.37,0.34,0.33,0.315,0.336
0.596,9,127,0.1614620026154295,0.38,0.345,0.33,0.315,0.336
0.598,10,275,0.1622317502403944,0.38,0.34,0.33,0.315,0.336
0.602,16,403,0.16145865992636424,0.39,0.345,0.33,0.315,0.336
0.604,7,87,0.16222928805578962,0.39,0.345,0.33,0.3175,0.338
0.602,2,122,0.16236496926558955,0.39,0.345,0.3333333333333333,0.32,0.342
0.606,8,85,0.16374626201192966,0.41,0.355,0.3433333333333333,0.3275,0.35
0.606,2,115,0.16506466800009967,0.41,0.355,0.3433333333333333,0.33,0.35
0.608,2,320,0.17275453899777282,0.41,0.355,0.3433333333333333,0.33,0.352
0.61,1,222,0.17232639690427431,0.41,0.36,0.35,0.335,0.356
0.614,11,165,0.16989138630524017,0.41,0.36,0.35,0.335,0.356
0.612,16,221,0.1716428217040886,0.41,0.36,0.35333333333333333,0.3375,0.358
0.612,5,126,0.16314334164628796,0.41,0.365,0.3566666666666667,0.34,0.36
0.618,12,90,0.17372966353626193,0.4,0.36,0.35,0.335,0.356
0.618,10,207,0.15934699620138462,0.41,0.365,0.35333333333333333,0.3375,0.356
0.622,15,220,0.17014557225099664,0.41,0.36,0.35,0.3375,0.356
0.62,17,150,0.2191570536312865,0.41,0.36,0.35,0.3375,0.356
0.62,4,155,0.16628308330899322,0.41,0.36,0.35333333333333333,0.34,0.36
0.62,1,218,0.16893162029700445,0.4,0.355,0.35,0.3375,0.358
0.62,17,164,0.17134152745675818,0.4,0.36,0.35333333333333333,0.3425,0.362
0.622,4,123,0.1760038417871881,0.4,0.36,0.35,0.3425,0.36
0.626,14,114,0.1666781245377325,0.4,0.36,0.35,0.34,0.358
0.626,8,163,0.17227110353521408,0.39,0.36,0.35,0.34,0.358
0.628,17,120,0.16143351470386044,0.4,0.37,0.3566666666666667,0.345,0.36
0.63,19,124,0.18632699836214803,0.42,0.38,0.36333333333333334,0.35,0.364
0.63,19,363,0.16044632609076143,0.42,0.385,0.36666666666666664,0.3525,0.366
0.632,6,162,0.17366107903159872,0.42,0.385,0.36666666666666664,0.3525,0.366
0.634,0,364,0.16074434983217858,0.42,0.385,0.36666666666666664,0.35,0.364
0.638,11,125,0.19513431819746843,0.42,0.385,0.36666666666666664,0.3525,0.366
0.64,14,231,0.19309296472145318,0.42,0.385,0.36666666666666664,0.3525,0.366
0.638,19,160,0.19132028965445189,0.42,0.385,0.36666666666666664,0.3525,0.366
0.638,0,161,0.1929051817263021,0.42,0.385,0.36666666666666664,0.355,0.366
0.638,6,119,0.19071604368080203,0.42,0.385,0.36666666666666664,0.355,0.366
0.64,13,153,0.18611374805110953,0.43,0.39,0.37,0.3575,0.368
0.64,3,154,0.18715532406852145,0.43,0.39,0.37,0.3575,0.368
0.642,3,365,0.16163171657781322,0.43,0.39,0.37,0.3575,0.37
0.642,3,344,0.16066891355796567,0.43,0.39,0.37,0.3575,0.37
0.644,4,345,0.16082818158183296,0.43,0.39,0.37,0.3575,0.37
0.648,10,152,0.17990381616040863,0.43,0.39,0.37,0.3575,0.37
0.648,17,366,0.16021726606285028,0.43,0.39,0.37,0.3575,0.37
0.652,11,452,0.1599750762473398,0.43,0.39,0.37,0.3575,0.37
0.654,17,321,0.19293754468814844,0.43,0.39,0.37,0.3575,0.37
0.654,4,322,0.19492178051954906,0.42,0.38,0.36333333333333334,0.355,0.37
0.654,10,314,0.195940871520069,0.42,0.38,0.36,0.3525,0.37
0.656,17,151,0.17243995682457014,0.42,0.38,0.36,0.35,0.37
0.658,10,420,0.17037627305147596,0.42,0.38,0.36,0.35,0.37
0.658,12,323,0.20263082734422452,0.42,0.38,0.36,0.35,0.37
0.66,3,141,0.16804845640523325,0.42,0.385,0.36333333333333334,0.3525,0.374
0.66,13,324,0.20629638861865945,0.42,0.385,0.36333333333333334,0.3525,0.376
0.662,16,325,0.20804604776619737,0.43,0.39,0.36333333333333334,0.3525,0.378
0.664,1,145,0.18163919322229263,0.43,0.39,0.36333333333333334,0.3525,0.378
0.666,5,25,0.176522820805346,0.43,0.38,0.3566666666666667,0.345,0.372
0.668,6,417,0.1988533409331025,0.43,0.38,0.3566666666666667,0.345,0.372
0.672,8,304,0.18219680961608517,0.43,0.38,0.35333333333333333,0.3425,0.37
0.674,5,416,0.1971755329441785,0.43,0.385,0.3566666666666667,0.3425,0.37
0.674,6,147,0.20185042549138119,0.44,0.39,0.36,0.345,0.372
0.678,11,350,0.1776507014766471,0.44,0.39,0.36333333333333334,0.3475,0.374
0.68,10,65,0.1755134391498734,0.44,0.395,0.36666666666666664,0.35,0.376
0.682,9,326,0.22140128011352225,0.44,0.395,0.37,0.3525,0.378
0.686,7,414,0.1929437460972567,0.44,0.395,0.37,0.3525,0.378
0.686,16,351,0.17688080554124586,0.44,0.395,0.37,0.3525,0.378
0.686,12,395,0.16759233106487695,0.44,0.4,0.37333333333333335,0.355,0.38
0.686,10,84,0.17655676999202802,0.44,0.4,0.37333333333333335,0.355,0.38
0.686,3,398,0.17045544965109233,0.44,0.4,0.38,0.3575,0.382
0.69,11,349,0.17488957651252063,0.44,0.4,0.38,0.3575,0.382
0.692,16,399,0.17301740292176526,0.44,0.4,0.38,0.3575,0.382
0.696,7,384,0.1633934670156117,0.43,0.395,0.37666666666666665,0.355,0.384
0.692,1,385,0.1635245862232335,0.44,0.4,0.38,0.3575,0.386
0.692,1,386,0.16364721422821948,0.44,0.4,0.38333333333333336,0.3575,0.386
0.692,8,394,0.16358670484008797,0.44,0.4,0.38333333333333336,0.3575,0.388
0.696,13,129,0.17593979159054954,0.44,0.4,0.38666666666666666,0.36,0.39
0.7,13,412,0.1837136227266259,0.44,0.4,0.38666666666666666,0.3625,0.394
0.7,18,404,0.1792817454223966,0.44,0.4,0.38666666666666666,0.3625,0.394
0.704,7,368,0.16319144610661646,0.45,0.41,0.3933333333333333,0.3675,0.398
0.704,1,433,0.16268264856938633,0.45,0.41,0.3933333333333333,0.3675,0.398
0.704,8,369,0.17207225024394732,0.45,0.41,0.3933333333333333,0.3675,0.398
0.704,1,411,0.18025643445667736,0.45,0.41,0.3933333333333333,0.3725,0.402
0.706,0,410,0.17959761588361653,0.45,0.41,0.3933333333333333,0.3725,0.4
0.714,14,405,0.1815382037236865,0.45,0.405,0.39,0.37,0.398
0.714,3,373,0.18427683770076583,0.45,0.405,0.39,0.37,0.398
0.722,15,327,0.23991415355743653,0.45,0.405,0.39,0.3675,0.396
0.726,12,374,0.18970552852727163,0.45,0.405,0.39,0.3675,0.396
0.728,0,376,0.19222443535802464,0.45,0.41,0.3933333333333333,0.3725,0.4
0.73,7,377,0.19461806026570522,0.46,0.415,0.39666666666666667,0.3775,0.406
0.734,2,118,0.1904293465434796,0.46,0.415,0.39666666666666667,0.3775,0.406
0.734,10,408,0.17455074150803865,0.46,0.415,0.39666666666666667,0.3775,0.408
0.736,16,442,0.16960711583509888,0.46,0.415,0.39666666666666667,0.3775,0.408
0.736,12,378,0.20292257177649328,0.47,0.42,0.4,0.38,0.412
0.736,13,388,0.16971505922088473,0.47,0.42,0.4,0.38,0.412
0.738,16,338,0.1631800021267511,0.47,0.42,0.39666666666666667,0.3775,0.41
0.738,14,387,0.16317850388006208,0.45,0.41,0.39,0.3725,0.406
0.74,6,443,0.17169012630646208,0.45,0.41,0.39,0.3725,0.406
0.74,6,407,0.17049946809569905,0.45,0.415,0.39666666666666667,0.3775,0.412
0.74,12,379,0.21186337046563863,0.45,0.415,0.39666666666666667,0.3775,0.412
0.742,10,444,0.1726675049634431,0.46,0.42,0.4033333333333333,0.3825,0.416
0.742,10,406,0.16886411707797497,0.47,0.43,0.42,0.395,0.426
0.746,15,339,0.1635406584027359,0.48,0.435,0.42333333333333334,0.3975,0.428
0.742,1,138,0.1627680355860741,0.48,0.43,0.42,0.3975,0.428
0.744,13,130,0.18058910282555102,0.48,0.43,0.42,0.3975,0.428
0.746,12,380,0.21728838206487888,0.48,0.43,0.42,0.3975,0.428
0.75,2,432,0.186147896658951,0.49,0.44,0.4266666666666667,0.4025,0.432
0.752,11,381,0.21849201245715663,0.49,0.44,0.4266666666666667,0.4025,0.432
0.75,4,131,0.18130653980901432,0.49,0.44,0.4266666666666667,0.4025,0.432
0.75,2,434,0.1964627230290842,0.49,0.435,0.42333333333333334,0.4,0.43
0.75,0,454,0.160859531853199,0.48,0.43,0.42,0.3975,0.428
0.75,19,370,0.16065089847690378,0.48,0.43,0.4166666666666667,0.395,0.426
0.75,18,435,0.20535406795334346,0.48,0.425,0.41333333333333333,0.3925,0.424
0.75,15,436,0.20800666869906992,0.48,0.425,0.41333333333333333,0.3925,0.422
0.75,10,445,0.17656590350149615,0.48,0.425,0.41333333333333333,0.395,0.424
0.752,17,438,0.21281043022553606,0.48,0.425,0.41,0.3925,0.422
0.754,14,219,0.1638024909719368,0.48,0.425,0.41,0.39,0.42
0.754,16,467,0.15941844338017794,0.49,0.43,0.4166666666666667,0.395,0.424
0.754,15,232,0.20360342641303553,0.49,0.425,0.41333333333333333,0.3925,0.422
0.756,12,431,0.20379685552700708,0.49,0.425,0.41333333333333333,0.3925,0.422
0.756,7,439,0.222034543267986,0.49,0.425,0.41333333333333333,0.3925,0.422
0.756,15,446,0.1777466150581912,0.49,0.425,0.41333333333333333,0.3925,0.422
0.756,2,279,0.17110713768490268,0.5,0.43,0.4166666666666667,0.395,0.424
0.758,7,440,0.22584871575324533,0.5,0.435,0.42333333333333334,0.4,0.428
0.76,2,455,0.16032139780082838,0.51,0.44,0.43,0.405,0.432
0.76,14,400,0.1646650646772223,0.51,0.44,0.43,0.405,0.432
0.764,2,470,0.15941932069044099,0.51,0.44,0.43,0.4025,0.43
0.766,16,233,0.20419538608378762,0.51,0.44,0.43,0.4,0.426
0.766,0,56,0.15909015741152208,0.51,0.44,0.43,0.4,0.424
0.77,10,94,0.15783354950213307,0.51,0.44,0.43,0.3975,0.42
0.77,7,328,0.2556409983160975,0.5,0.435,0.42333333333333334,0.3925,0.416
0.77,13,382,0.21988310747690573,0.49,0.43,0.42,0.39,0.412
0.772,7,139,0.1653195364452086,0.49,0.43,0.42,0.39,0.412
0.774,8,456,0.160329906861324,0.48,0.425,0.4166666666666667,0.3875,0.41
0.772,4,280,0.1710659599711423,0.48,0.42,0.41333333333333333,0.385,0.408
0.77,10,340,0.16365446948047715,0.48,0.42,0.41333333333333333,0.3875,0.41
0.768,10,397,0.1586529997211038,0.48,0.42,0.41333333333333333,0.3875,0.41
0.766,2,457,0.16027168310651632,0.48,0.42,0.41,0.385,0.408
0.766,0,396,0.157609526269219,0.49,0.425,0.41333333333333333,0.39,0.412
0.766,3,471,0.15908597958771623,0.49,0.425,0.41333333333333333,0.39,0.412
0.768,16,176,0.15730456743246124,0.48,0.415,0.4066666666666667,0.385,0.408
0.77,9,458,0.16045752280275036,0.48,0.415,0.4066666666666667,0.385,0.408
0.77,1,460,0.15755424977294685,0.48,0.415,0.4033333333333333,0.3825,0.406
0.772,12,461,0.15789962505916016,0.48,0.415,0.4,0.38,0.404
0.772,1,472,0.15903780936814058,0.48,0.415,0.4033333333333333,0.3825,0.406
0.772,11,462,0.15860369494753482,0.47,0.41,0.39666666666666667,0.38,0.404
0.774,9,74,0.15703689174238736,0.46,0.405,0.39,0.375,0.4
0.774,5,104,0.15701270644098228,0.46,0.405,0.39,0.375,0.4
0.774,16,265,0.15431583749829678,0.46,0.405,0.39,0.375,0.4
0.774,1,463,0.1598457275505471,0.46,0.405,0.3933333333333333,0.3775,0.404
0.776,5,464,0.16012610519021186,0.46,0.405,0.3933333333333333,0.3775,0.404
0.776,19,184,0.15389090936617994,0.46,0.4,0.39,0.375,0.402
0.78,17,473,0.15990271655074964,0.46,0.4,0.38666666666666666,0.3725,0.4
0.78,1,341,0.1631157940072588,0.46,0.4,0.38666666666666666,0.3725,0.4
0.784,8,178,0.15847491045051737,0.47,0.405,0.39,0.375,0.402
0.784,8,266,0.15398822950682187,0.47,0.405,0.39,0.375,0.402
0.786,5,169,0.18729615063372895,0.48,0.41,0.3933333333333333,0.3775,0.404
0.788,4,465,0.1616232877515285,0.5,0.42,0.4,0.3825,0.408
0.792,4,234,0.20463461973318722,0.5,0.42,0.4,0.3825,0.408
0.796,4,474,0.16162192789044155,0.5,0.425,0.4033333333333333,0.385,0.41
0.796,0,268,0.15417080975016148,0.5,0.43,0.4066666666666667,0.3875,0.412
0.796,15,146,0.18459806179757565,0.5,0.43,0.41,0.39,0.412
0.796,10,475,0.16264130909336477,0.51,0.435,0.41333333333333333,0.395,0.416
0.796,10,132,0.1847207797825277,0.51,0.435,0.41333333333333333,0.3925,0.412
0.796,2,477,0.1632592368030874,0.51,0.435,0.41333333333333333,0.395,0.414
0.796,1,179,0.16001331718753095,0.51,0.435,0.41333333333333333,0.3975,0.416
0.794,15,441,0.16014058223595828,0.51,0.44,0.42,0.4025,0.422
0.794,17,329,0.26784336238705714,0.51,0.435,0.4166666666666667,0.4,0.42
0.794,0,270,0.15460345951191307,0.52,0.44,0.42,0.405,0.424
0.794,9,447,0.1631175531845434,0.52,0.44,0.42,0.405,0.424
0.794,10,437,0.15624784295215266,0.52,0.44,0.42,0.405,0.424
0.794,16,478,0.1652450893532618,0.52,0.44,0.42,0.405,0.424
0.794,0,105,0.15228153130571787,0.52,0.44,0.42,0.405,0.424
0.796,19,264,0.15189537191099362,0.52,0.44,0.42,0.4075,0.424
0.796,11,271,0.15463438279475678,0.52,0.435,0.4166666666666667,0.4075,0.424
0.796,14,103,0.15099839886866848,0.52,0.435,0.4166666666666667,0.405,0.422
0.796,19,73,0.14984637085087746,0.52,0.44,0.42,0.4075,0.424
0.796,11,468,0.16496344028030738,0.52,0.44,0.42,0.4075,0.424
0.798,17,21,0.1495784719090128,0.52,0.44,0.4166666666666667,0.405,0.422
0.802,11,263,0.1510247749137397,0.52,0.44,0.41333333333333333,0.4025,0.42
0.802,17,262,0.1508800365482359,0.52,0.44,0.41333333333333333,0.4025,0.42
0.804,15,352,0.15608936824069677,0.53,0.445,0.4166666666666667,0.405,0.422
0.804,14,102,0.15102283568867036,0.52,0.44,0.41333333333333333,0.4025,0.42
0.804,2,261,0.1503636346354841,0.52,0.44,0.41333333333333333,0.4025,0.42
0.804,16,466,0.15297687717402667,0.52,0.44,0.41333333333333333,0.4,0.418
0.806,9,479,0.16802859118666896,0.52,0.44,0.41333333333333333,0.4,0.418
0.806,15,356,0.1500133659396752,0.52,0.445,0.4166666666666667,0.4025,0.42
0.806,9,358,0.15019024143832688,0.52,0.445,0.4166666666666667,0.4025,0.42
0.808,16,453,0.1559153481895368,0.52,0.445,0.4166666666666667,0.4025,0.42
0.808,9,451,0.15552017427373327,0.52,0.445,0.4166666666666667,0.4025,0.42
0.808,13,170,0.1878493924812515,0.52,0.445,0.4166666666666667,0.4025,0.42
0.808,15,249,0.1612231450016799,0.52,0.445,0.4166666666666667,0.4025,0.42
0.808,4,450,0.15409929253552976,0.52,0.445,0.4166666666666667,0.4025,0.42
0.81,10,269,0.15394516126975732,0.52,0.445,0.4166666666666667,0.4025,0.42
0.81,18,448,0.15294834979099114,0.52,0.445,0.4166666666666667,0.4025,0.42
0.812,8,375,0.1503689353951424,0.52,0.445,0.4166666666666667,0.4025,0.422
0.814,7,186,0.15040496847401721,0.52,0.445,0.4166666666666667,0.4025,0.422
0.814,13,101,0.15058377811200782,0.52,0.445,0.4166666666666667,0.4025,0.422
0.814,0,187,0.1506572386096075,0.52,0.445,0.4166666666666667,0.4025,0.422
0.814,2,181,0.14980781572806176,0.52,0.445,0.4166666666666667,0.4025,0.422
0.82,0,72,0.1494759550774918,0.52,0.445,0.4166666666666667,0.4025,0.422
0.818,3,189,0.1508780360164778,0.52,0.445,0.4166666666666667,0.4025,0.422
0.816,2,409,0.15010801446459376,0.52,0.45,0.42,0.405,0.424
0.816,13,171,0.14972277208920834,0.51,0.445,0.4166666666666667,0.4025,0.422
0.816,17,172,0.14977598370957104,0.51,0.445,0.4166666666666667,0.4025,0.42
0.816,12,267,0.1489332648063393,0.51,0.445,0.4166666666666667,0.4025,0.42
0.816,11,367,0.14622016404590046,0.51,0.445,0.4166666666666667,0.4025,0.42
0.818,2,469,0.16673755362272655,0.51,0.445,0.4166666666666667,0.4025,0.42
0.82,3,144,0.16632646416206573,0.51,0.44,0.41333333333333333,0.4,0.418
0.818,1,173,0.15003268826770616,0.5,0.43,0.4066666666666667,0.395,0.414
0.818,15,260,0.1467498454308071,0.5,0.43,0.41,0.395,0.414
0.82,18,174,0.1500896696442726,0.5,0.43,0.41,0.395,0.414
0.82,13,347,0.14598037163147992,0.49,0.425,0.4066666666666667,0.3925,0.412
0.82,10,175,0.15114136599214223,0.49,0.425,0.4066666666666667,0.3925,0.412
0.822,7,272,0.15488018395170544,0.49,0.425,0.4066666666666667,0.3925,0.412
0.822,15,188,0.1494381226923571,0.49,0.425,0.4033333333333333,0.39,0.408
0.822,10,180,0.14776505130633116,0.49,0.425,0.4,0.3875,0.406
0.822,6,259,0.14619020072717803,0.49,0.425,0.4,0.3875,0.406
0.822,1,168,0.17632719359709023,0.49,0.43,0.4033333333333333,0.39,0.406
0.822,11,48,0.14541750053503763,0.49,0.43,0.4066666666666667,0.3925,0.408
0.824,6,346,0.14571166269150548,0.49,0.43,0.4066666666666667,0.3925,0.408
0.83,5,182,0.14705445394635427,0.49,0.43,0.4066666666666667,0.3925,0.408
0.83,4,15,0.14453105187960236,0.49,0.43,0.4066666666666667,0.3925,0.408
0.83,4,185,0.14846176141956693,0.49,0.425,0.4033333333333333,0.39,0.406
0.83,12,143,0.16204223536997234,0.49,0.425,0.4,0.3875,0.404
0.83,11,256,0.16979466823120365,0.49,0.425,0.4,0.3875,0.404
0.83,18,236,0.14668978102327423,0.48,0.42,0.39666666666666667,0.385,0.404
0.83,18,19,0.14215496227435565,0.48,0.42,0.39666666666666667,0.385,0.404
0.832,6,237,0.1478450214762788,0.48,0.42,0.39666666666666667,0.385,0.404
0.836,16,480,0.16802605530148218,0.48,0.42,0.39666666666666667,0.385,0.404
0.838,9,459,0.1502020920494373,0.48,0.42,0.39666666666666667,0.385,0.404
0.838,1,239,0.14906410131520179,0.49,0.425,0.4,0.3875,0.404
0.838,11,281,0.16700823549080762,0.49,0.425,0.4,0.3875,0.404
0.842,13,106,0.15226794218712447,0.49,0.425,0.4,0.3875,0.404
0.842,19,481,0.16804784088575983,0.49,0.425,0.4,0.3875,0.404
0.844,12,100,0.14969195443439473,0.49,0.425,0.4,0.3875,0.404
0.846,1,47,0.14632159659795024,0.49,0.425,0.4,0.39,0.406
