classifier acc,actual topic,recommend ids,recommend score,100 test set,200 test set,300 test set,400 test set,500 test set
0.382,5,353,0.15399461508055368,0.25,0.21,0.20666666666666667,0.1925,0.212
0.372,12,100,0.15347452668610073,0.25,0.21,0.20333333333333334,0.1925,0.21
0.374,6,319,0.15377530206096293,0.25,0.21,0.20666666666666667,0.1975,0.214
0.38,2,320,0.15383214179834384,0.25,0.21,0.20666666666666667,0.1975,0.214
0.388,3,344,0.15395268381416405,0.25,0.21,0.20666666666666667,0.2,0.216
0.388,6,346,0.15554123609516313,0.25,0.205,0.20333333333333334,0.1975,0.214
0.396,17,321,0.15398259004924972,0.25,0.205,0.20333333333333334,0.2,0.216
0.398,13,347,0.15862604313807005,0.24,0.205,0.20333333333333334,0.2,0.218
0.396,10,314,0.15723717425686484,0.24,0.205,0.2,0.1975,0.216
0.402,17,316,0.1614654853134603,0.24,0.205,0.2,0.1975,0.216
0.402,19,317,0.16585584465579703,0.24,0.21,0.20333333333333334,0.195,0.216
0.402,4,474,0.1629877184299882,0.24,0.21,0.20333333333333334,0.195,0.216
0.402,6,417,0.16210487958344277,0.26,0.22,0.21,0.2,0.22
0.4,4,322,0.16169558012769564,0.26,0.23,0.21666666666666667,0.2075,0.226
0.404,5,416,0.1617475182673485,0.27,0.235,0.22333333333333333,0.2125,0.232
0.404,17,473,0.16331879639713714,0.27,0.235,0.22333333333333333,0.2125,0.232
0.408,12,323,0.16589848188527534,0.28,0.245,0.23,0.2175,0.24
0.41,8,428,0.15535968547271073,0.28,0.245,0.23333333333333334,0.2225,0.246
0.418,11,349,0.17341274184886707,0.29,0.25,0.23666666666666666,0.23,0.254
0.418,16,325,0.17177639256710237,0.29,0.25,0.23666666666666666,0.2275,0.252
0.426,6,407,0.15860596838388202,0.3,0.255,0.24,0.23,0.254
0.43,10,408,0.15985318314255434,0.31,0.26,0.24333333333333335,0.2325,0.258
0.434,15,436,0.2131022351438294,0.31,0.26,0.24,0.23,0.258
0.438,0,415,0.15960849249208264,0.31,0.26,0.24,0.23,0.258
0.438,2,409,0.1633155128698678,0.33,0.27,0.24666666666666667,0.2325,0.26
0.444,9,413,0.15894218732457163,0.33,0.275,0.25,0.235,0.264
0.45,13,156,0.1569305941442888,0.33,0.28,0.25666666666666665,0.2425,0.27
0.452,0,410,0.16633814647164855,0.33,0.28,0.25333333333333335,0.2425,0.27
0.452,15,327,0.18798266348625642,0.34,0.285,0.25666666666666665,0.245,0.272
0.456,13,424,0.2348624873690814,0.34,0.285,0.25666666666666665,0.2475,0.272
0.462,1,411,0.16892220382592985,0.35,0.29,0.26,0.25,0.274
0.468,8,85,0.1564931241238426,0.35,0.29,0.26,0.25,0.276
